Rank,Cafe,Menu,Price,Address
1,Old Oak Tap,BLT,$10,"2109W.ChicagoAve.,"
2,Au Cheval,Fried Bologna,$9,"800W.RandolphSt.,"
3,Xoco,Woodland Mushroom,$9.50,"445N.ClarkSt.,"
4,Al’s Deli,Roast Beef,$9.40,"914NoyesSt.,Evanston,"
5,Publican Quality Meats,PB&L,$10,"825W.FultonMkt.,"
6,Hendrickx Belgian Bread Crafter,Belgian Chicken Curry Salad,$7.25,100E.Walton
7,Acadia,Lobster Roll,$16,"1639S.WabashAve.,"
8,Birchwood Kitchen,Smoked Salmon Salad,$10,"2211W.NorthAve.,"
9,Cemitas Puebla,Atomica Cemitas,$9,"3619W.NorthAve.,"
10,Nana,Grilled Laughing Bird Shrimp and Fried Po’ Boy,$17,"3267S.HalstedSt.,"
11,Lula Cafe,Ham and Raclette Panino,$11,"2537N.KedzieBlvd.,"
12,Ricobene’s,Breaded Steak,$5.49,Multiple
13,Frog n Snail,The Hawkeye,$14,"3124N.Broadway,"
14,Crosby’s Kitchen,Chicken Dip,$10,"3455N.SouthportAve.,"
15,Longman & Eagle,Wild Boar Sloppy Joe,$13,"2657N.KedzieAve.,"
16,Bari,Meatball Sub,$4.50,"1120W.GrandAve.,"
17,Manny’s,Corned Beef,$11.95,"1141S.JeffersonSt.,"
18,Eggy’s,Turkey Club,$11.50,"333E.BentonPl.,"
19,Old Jerusalem,Falafel,$6.25,"1411N.WellsSt.,"
20,Mindy’s HotChocolate,Crab Cake,$15,"1747N.DamenAve.,"
21,Olga’s Delicatessen,Chicken Schnitzel,$5,3209W.IrvingPark
22,Dawali Mediterranean Kitchen,Shawarma,$6,Multiple
23,Big Jones,Toasted Pimiento Cheese,$8,"5347N.ClarkSt.,"
24,La Pane,Vegetarian Panino,$5.99,"2954W.IrvingParkRd.,"
25,Pastoral,Cali Chèvre,$7.52,Multiple
26,Max’s Deli,Pastrami,$11.95,"191SkokieValleyRd.,HighlandPark,"
27,Lucky’s Sandwich Co.,The Fredo,$7.50,Multiple
28,City Provisions,Smoked Ham,$12.95,"1818W.WilsonAve.,"
29,Papa’s Cache Sabroso,Jibarito,$7,"2517W.DivisionSt.,"
30,Bavette’s Bar & Boeuf,Shaved Prime Rib,$21,218W.Kinzie
31,Hannah’s Bretzel,Serrano Ham and Manchego Cheese,$9.79,Multiple
32,La Fournette,Tuna Salad,$9.75,"1547N.WellsSt.,"
33,Paramount Room,Paramount Reuben,$13,"415N.MilwaukeeAve.,"
34,Melt Sandwich Shoppe,The Istanbul,$7.95,"1840N.DamenAve.,"
35,Floriole Cafe & Bakery,B.A.D.,$9,"1220W.WebsterAve.,"
36,First Slice Pie Café,Duck Confit and Mozzarella,$9,"5357N.AshlandAve.,"
37,Troquet,Croque Monsieur,$8,"1834W.MontroseAve.,"
38,Grahamwich,Green Garbanzo,$8,"615N.StateSt.,"
39,Saigon Sisters,The Hen House,$7,Multiple
40,Rosalia’s Deli,Tuscan Chicken,$6,"241N.YorkRd.,Elmhurst,"
41,Z&H MarketCafe,The Marty ,$7.25,"1323E.57thSt.,"
42,Market House on the Square,Whitefish,$11,"655ForestAve.,LakeForest,"
43,Elaine’s Coffee Call,"Oat Bread, Pecan Butter, and Fruit Jam",$6,"HotelLincoln,1816N.ClarkSt.,"
44,Marion Street Cheese Market,Cauliflower Melt,$9,"100S.MarionSt.,OakPark,"
45,Cafecito,Cubana,$5.49,"26E.CongressPkwy.,"
46,Chickpea,Kufta,$8,"2018W.ChicagoAve.,"
47,The Goddess and Grocer,Debbie’s Egg Salad,$6.50,"25E.DelawarePl.,"
48,Zenwich,Beef Curry,$7.50,"416N.YorkSt.,Elmhurst,"
49,Toni Patisserie,Le Végétarien,$8.75,"65E.WashingtonSt.,"
50,Phoebe’s Bakery,The Gatsby,$6.85,"3351N.Broadway,"
